season,concert.name,set,who,what,MOZART,HANDEL,BACH,TELEMAN,JOHANN,CORELLI,SPOHR,VIVALDI,MUFFAT,BEETHOVEN,MENDELSSOHN,HAYDN,ROSSINI,PURCELL,REBEL,DURANTE,HUMMEL,LEVIN,PERGOLESI,FASCH,GREGORI,GEMINIANI,LOCKE,ARNE,LAWES,BECK,SCHUMANN,BEREZOVSKY,BORTNIANSKY,FOMIN,STANLEY,CROFT,BOYCE
2010-2011,Robert Levin Plays Mozart,1,"Nicholas McGegan, conductorRobert Levin, fortepiano","MOZART: Incidental Music from Thamos, King of Egypt, K. 345MOZART: Concerto for Fortepiano No. 20 in D minor, K. 466LEVIN: Improvisations on themes submitted by the audienceMOZART/LEVIN: Concerto Movement in G major from Nannerl's MusicBook, NMA No. 51 (newly attributed to Mozart, US Premiere)LEVIN: Variations on themes submitted by the audienceMOZART:Symphony No. 41 in C major, K. 551 Jupiterù",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,Bach's Wedding Cantata,2,"Lars Ulrik Mortensen, conductor and harpsichordMaria Keohane, soprano","Bach?s Wedding CantataBACHOrchestral Suite No. 1 in C major, BWV 1066Concerto for Harpsichord in D minor, BWV 1052?Weichet nur, betrubte Schatten? (The Wedding Cantata), BWV 202Concerto for Harpsichord in D major, BWV 1054",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,Vivaldi's Four Seasons,3,"Nicholas McGegan, conductorElizabeth Blumenstock, violin","Vivaldi?s Four SeasonsCORELLI: Concerto Grosso Op. 6, No. 11 in B-flat majorPERGOLESI: Sinfonia in F majorVIVALDI: Le Quattro stagioni (The Four Seasons). Op. 8, Nos. 1-4DURANTE: Concerto No. 5 in A majorZAVATERI: Concerto decimo a Pastorale, Op. 1",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,Handel's Messiah,4,"Nicholas McGegan, Music DirectorMary Wilson, sopranoDaniel Taylor, countertenorJohn McVeigh, tenorTyler Duncan, bassPhilharmonia Chorale, Bruce Lamott, Director",HANDEL Messiah,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,David Daniels,5,"Nicholas McGegan, Music DirectorDavid Daniels, countertenor","TELEMANN: Concerto for Two Horns in D majorVIVALDI: Stabat mater, RV 621HANDEL: Opera Arias?Crede, l?uom ch?egli riposi? from Il trionfo del Tempo e del Disinganno ?Otton, qual portentoso fulmineê Voi che udite il mio lamento? from Agrippina?Perfido! d? a quell?empio tiranno? from RadamistoTELEMANN: Suite in F major, TV 55:F11 ?Alster Overture?",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,Hummel's Concerto for Keyed Trumpet,6,"Nicholas McGegan, Music DirectorGabriele Cassone, keyed trumpet","SPOHR: Symphony No. 2 in D minor, Op. 49HUMMEL: Concerto for Keyed Trumpet in E majorMENDELSSOHN: Symphony No 1. in C minor, Op. 11",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,Zheng Cao: The Life of a Singer,7,"Nicholas McGegan, conductorZheng Cao, mezzo-soprano","REBEL: Les Caractères de la danseHANDEL: ?Scherza infida? from AriodanteGLUCK: Selections from Orfeo ed Euridice, incl. Dance of the Blessed Spirits, Aria ?Che faro senza Euridice,? and Ballet ? ChaconneSTOOKEY: Into the Bright Lights (U.S. Premiere)RAMEAU: Les Indes galantes, orchestral suite",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,Haydn's Creation,8,"Nicholas McGegan, conductorDominique Labelle, sopranoThomas Cooley, tenorPhilip Cutlip, baritonePhilharmonia ChoraleBruce Lamott, director",HAYDN: The Creation,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Arias for Farinelli,2,"Nicholas McGegan, conductorVivica Genaux, mezzo-soprano","JOHANN FRIEDRICH FASCH (1688-1758)Concerto for Two Flutes, Two Oboes and Two Bassoons in D Minor, FWV L:d7ANTONIO VIVALDI (1678-1741)?Cor mio che prigion sei? from Atenaide, RV 702 ?? ?Sin nel placido soggiorno? from La fede tradita e vendicata, RV 712 ?? ?Alma oppressa? from La fida ninfa, RV 714Vivica Genaux, mezzo-sopranoGEORG PHILIPP TELEMANN (1681-1767)Concerto in D major, TWV 44:1 ?Sinfonia Spirituosa?INTERMISSIONNICOLA PORPORA (1686-1768)?Or la nube procellosa? ?? ? Oh volesser gli Dei... Dolci, freschi aurette?RICCARDO BROSCHI (1698-1756)?Qual guerriero in campo armato?Vivica Genaux, mezzo-sopranoJEAN-PHILIPPE RAMEAU (1683-1764)Orchestral suite from La Guirlande",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Marion Verbruggen & the Italian Baroque Recorder,3,"Ottavio Dantone, conductorMarion Verbruggen, recorder","ARCANGELO CORELLI (1653-1713)  Concerto Grosso in F major, Op. 6 No. 2GIOVANNI LORENZO GREGORI (1663-1745) Concerto Grosso in A minor, Op. 2 No. 6FRANCESCO GEMINIANI (1687-1762) Concerto Grosso in D minor, Op. 3 No. 4ANTONIO VIVALDI (1678-1741) Concerto for Alto Recorder in F major, ?La tempesta di mare,? RV 433INTERMISSIONGIUSEPPE SAMMARTINI (1695-1750 Concerto for Soprano Recorder in F majorALESSANDRO SCARLATTI (1660-1725) Concerto Grosso No. 4 in G minorVIVALDI Concerto for Strings in D minor, RV 128CORELLI Concerto Grosso in D major, Op. 6 No. 4",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
